n,k,entry,factors,max_factor
84,-55,363423381215956802869828197519260207491898719288288,"{2: 5, 17: 1, 668057686058744122922478304263345969654225586927: 1}",668057686058744122922478304263345969654225586927
84,-53,354596324736853131065765404013040066584085727875088,"{2: 4, 1611361: 1, 1197021603431: 1, 665212718596169: 1, 17272645770464767: 1}",17272645770464767
84,-51,341061504802227500966202453970169183858772474374848,"{2: 6, 761: 1, 9181: 1, 3150709: 1, 1690691: 1, 76514149: 1, 1871387822404596110317: 1}",1871387822404596110317
84,-49,321887176561507858325154941409435433331245365249508,"{2: 2, 283: 1, 9125218633: 1, 8151011737769: 1, 3822983745354243933613547: 1}",3822983745354243933613547
84,-47,296697372794287935639857228829647957148023476790728,"{2: 3, 14537: 1, 2551225947532915454012667923485312969904583793: 1}",2551225947532915454012667923485312969904583793
84,-45,265909834856574696802271135676574375146307835341108,"{2: 2, 9842627544963839986891: 1, 6754035790794306666340645447: 1}",6754035790794306666340645447
84,-43,230801238962691178829585239975700992161895261758208,"{2: 8, 9479: 1, 636863: 1, 1692325853: 1, 868987571: 1, 101552840417634288493: 1}",101552840417634288493
84,-41,193352070009215426325386951228102716978521849936448,"{2: 6, 43777169: 1, 126513701381303: 1, 545486010263550891959079151: 1}",545486010263550891959079151
84,-39,155902901055739673821188662480504441795148438114688,"{2: 7, 7: 1, 43: 1, 2357879: 1, 27156830028553: 1, 9579307: 1, 6596947850439090019: 1}",6596947850439090019
84,-37,120723378705504876014214512444881819653191596706368,"{2: 6, 487757: 1, 3867300299685117154078981453779809274046541: 1}",3867300299685117154078981453779809274046541
84,-35,89622641555297301141382292848171965295809461548288,"{2: 8, 137: 1, 479: 1, 1618947030695996753: 1, 3295255205709438633128867: 1}",3295255205709438633128867
84,-33,63705360596790988747355443184247086664657682249888,"{2: 5, 7: 2, 227827: 1, 34659259: 1, 28615387362889: 1, 179806681500431497133: 1}",179806681500431497133
