n,k,entry,factors,max_factor
36,-11,671109762363941528704,"{2: 7, 4567: 1, 143981: 1, 7973470459: 1}",7973470459
36,-9,356877982244293374304,"{2: 5, 11: 1, 59: 2, 291254784287017: 1}",291254784287017
36,-7,171561804225013693504,"{2: 6, 13: 1, 4219: 1, 10039: 1, 4868523817: 1}",4868523817
36,-5,74491425262533860704,"{2: 5, 2327857039454183147: 1}",2327857039454183147
36,-3,29191915080043272064,"{2: 7, 599: 1, 69439654139: 1, 5483: 1}",69439654139
36,-1,10317119170672193464,"{2: 3, 13: 1, 119489: 1, 830227627219: 1}",830227627219
37,-34,18888865552937392858300,"{2: 2, 5: 2, 7: 1, 13: 1, 19: 1, 37: 1, 73: 1, 163: 1, 193: 1, 6553: 1, 196201: 1}",196201
37,-32,18881661010443136900492,"{2: 2, 4837708417: 1, 975754395619: 1}",975754395619
37,-30,18839634512559977146612,"{2: 2, 251: 1, 557: 1, 10589: 1, 3181475747711: 1}",3181475747711
37,-28,18680867742779151409732,"{2: 2, 4670216935694787852433: 1}",4670216935694787852433
37,-26,18244259125881880633312,"{2: 5, 61: 1, 727: 1, 26839: 1, 479011210427: 1}",479011210427
37,-24,17312827409834369643616,"{2: 5, 23: 1, 293: 1, 80282809995151217: 1}",80282809995151217
37,-22,15708695009974767383584,"{2: 5, 53: 1, 431: 1, 20959: 1, 1025336533901: 1}",1025336533901
